size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,53.713024,0.17376,0.247488,0.218528,0.672128,1
256,2,53.425537,0.185568,0.236704,0.243552,0.699232,1
256,3,54.173695,0.175968,0.23712,0.212064,0.656928,1
256,4,55.617535,0.169632,0.250272,0.21184,0.66336,1
256,5,53.000256,0.176544,0.244928,0.214272,0.668192,1
512,1,1304.03125,0.742752,1.05664,0.86704,2.707168,1
512,2,1282.680908,0.702912,1.014016,0.731008,2.483232,1
512,3,755.187012,0.699616,1.027968,0.803872,2.567136,1
512,4,762.209229,0.69216,1.03568,0.799808,2.562656,1
512,5,761.182678,0.697472,1.034784,0.809984,2.577408,1
1024,1,7664.183594,2.00112,7.60032,3.26368,12.913152,1
1024,2,8225.069336,1.99824,7.53376,3.029696,12.60112,1
1024,3,8607.182617,2.020704,7.584352,3.302144,12.959264,1
1024,4,7582.320312,2.13184,7.600224,3.489536,13.273856,1
1024,5,8114.41748,1.969088,7.553088,2.956864,12.517504,1
2048,1,102147.3359,7.765344,0.17312,11.524672,19.505695,0
2048,2,93425.09375,7.657984,0.156032,11.290272,19.144287,0
2048,3,101465.9141,7.893216,0.184064,11.485792,19.608768,0
2048,4,113329.3281,7.571168,0.169216,11.48464,19.265728,0
2048,5,101028.5,7.386784,0.16288,11.818496,19.417313,0
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,53.5781,0.1740,0.2433,0.2142,0.6651,220.2121,80.5502
512,973.0582,0.6980,1.0328,0.8046,2.5691,942.1458,378.7594
1024,8038.6347,1.9973,7.5743,3.2084,12.853,1061.2971,625.4297
2048,101547.2500,7.6549,0.1691,11.4984,19.3884,600649.5235,5237.5373
