product_category_name,hour_order_placed,orders_placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construcao_ferramentas_jardim,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construcao_ferramentas_seguranca,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cool_stuff,14,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvds_blu_ray,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvds_blu_ray,10,7,,,,,,,,,,,,,,Sum of orders_placed,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eletrodomesticos,15,66,,,,,,,,,,,,,,Row Labels,agro_industria_e_comercio,alimentos,alimentos_bebidas,artes,artes_e_artesanato,artigos_de_festas,artigos_de_natal,audio,automotivo,bebes,bebidas,beleza_saude,brinquedos,cama_mesa_banho,casa_conforto,casa_conforto_2,casa_construcao,cds_dvds_musicais,cine_foto,climatizacao,consoles_games,construcao_ferramentas_construcao,construcao_ferramentas_ferramentas,construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,construcao_ferramentas_seguranca,cool_stuff,dvds_blu_ray,eletrodomesticos,eletrodomesticos_2,eletronicos,eletroportateis,esporte_lazer,fashion_bolsas_e_acessorios,fashion_calcados,fashion_esporte,fashion_roupa_feminina,fashion_roupa_infanto_juvenil,fashion_roupa_masculina,fashion_underwear_e_moda_praia,ferramentas_jardim,flores,fraldas_higiene,industria_comercio_e_negocios,informatica_acessorios,instrumentos_musicais,la_cuisine,livros_importados,livros_interesse_geral,livros_tecnicos,malas_acessorios,market_place,moveis_colchao_e_estofado,moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,moveis_escritorio,moveis_quarto,moveis_sala,musica,papelaria,pc_gamer,pcs,perfumaria,pet_shop,portateis_casa_forno_e_cafe,portateis_cozinha_e_preparadores_de_alimentos,relogios_presentes,seguros_e_servicos,sinalizacao_e_seguranca,tablets_impressao_imagem,telefonia,telefonia_fixa,utilidades_domesticas,(blank),Grand Total
eletrodomesticos_2,13,20,,,,,,,,,,,,,,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
eletronicos,15,199,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
eletroportateis,15,54,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,4,,,,,,,,17,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
esporte_lazer,15,640,,,,,,,,,,,,,,10,,,,,3,,,32,,,,,,,38,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,25,,,,25,,,,,,189,,,,,8,,,,,,,,,,327
fashion_bolsas_e_acessorios,21,150,,,,,,,,,,,,,,11,,,23,,,,,,,229,,,,,,,,,,24,,88,,,,,,,,,,,,,,,,,,,,,,25,636,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1026
fashion_calcados,21,22,,,,,,,,,,,,,,12,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,48
fashion_esporte,20,8,,,,,,,,,,,,,,13,,,,,,,,,305,,,,,,,,,,,,87,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,309,,,,727
fashion_roupa_feminina,9,10,,,,,,,,,,,,,,14,,,,,,,,,,,,,,802,,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,3,,,143,,3,,,21,,,,,,1256
fashion_roupa_infanto_juvenil,17,2,,,,,,,,,,,,,,15,,,,,,5,,,,,,,,,,,,,,,,,,,21,,,,66,,199,54,640,,,,,,,,,,,,,,,7,,,,,,,,163,,,,,,,,,8,,,,,10,,35,512,,1720
fashion_roupa_masculina,16,12,,,,,,,,,,,,,,16,21,,,,,,14,,,,40,697,284,,,,50,,,,,,,34,21,,,,,,,,,,,,,,12,,,,,,,60,,,,,,,,,,,,,,,,23,257,,,,,1,,,,,,,1514
fashion_underwear_e_moda_praia,12,13,,,,,,,,,,,,,,17,,,,17,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
ferramentas_jardim,21,319,,,,,,,,,,,,,,18,,,,,3,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,25,,,6,,,,,,,,,,,,,,,,,,,,,,55
flores,19,7,,,,,,,,,,,,,,19,,38,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,7,,,,,2,,,,,,,,,,,46,,,,,,,,,,,,,,,,,105
fraldas_higiene,23,6,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,24,,,,,,,,7,,,,,,,,8,,,,,,,,,,,,7,,,83,,,,,,,,,,,,,,,,,,,,,,,,129
industria_comercio_e_negocios,11,25,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,22,,,,,,319,,,,,,2,,49,,,,,,,,,,,,,,,,8,,403,,,,,,,,953
informatica_acessorios,11,636,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,571
instrumentos_musicais,16,60,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
la_cuisine,21,2,,,,,,,,,,,,,,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_cuisine,17,2,,,,,,,,,,,,,,Grand Total,21,38,23,17,9,10,14,32,305,229,40,697,284,802,38,5,50,4,15,48,87,88,12,34,63,17,273,14,66,20,199,54,640,150,22,8,10,2,12,13,319,7,6,25,636,60,6,14,49,50,83,32,6,25,571,163,11,46,6,189,3,23,257,143,24,3,403,2,21,10,309,35,512,,8514
la_cuisine,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livros_importados,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livros_importados,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
