customer_state,avg_order_price
GO,126.271731
MA,145.20415
CE,153.758261
PB,191.475215
PI,160.358081
SP,109.653629
RN,156.965935
DF,125.770548
PA,165.692416
RS,120.337453
SE,153.041168
RJ,125.117818
AC,173.727717
AL,180.889211
RO,165.973525
PR,119.004139
ES,121.913701
SC,124.653577
AM,135.496
BA,134.601208
TO,157.529333
MG,120.748574
MS,142.628376
RR,150.565961
AP,164.320731
PE,145.508322
