task,version,threads,chunk,trial,time_ms
task1,1,1,500000,1,80.0783
task1,1,1,500000,2,80.4381
task1,1,1,500000,3,74.8538
task1,1,1,500000,4,77.6541
task1,1,1,500000,5,78.376
task1,1,1,2500000,1,426.759
task1,1,1,2500000,2,416.367
task1,1,1,2500000,3,420.1
task1,1,1,2500000,4,425.667
task1,1,1,2500000,5,412.375
task1,1,1,5000000,1,836.538
task1,1,1,5000000,2,806.397
task1,1,1,5000000,3,832.153
task1,1,1,5000000,4,832.684
task1,1,1,5000000,5,859.643
task1,2,1,500000,1,49.4016
task1,2,1,500000,2,51.1871
task1,2,1,500000,3,48.542
task1,2,1,500000,4,46.6766
task1,2,1,500000,5,49.9246
task1,2,2,250000,1,33.1389
task1,2,2,250000,2,22.9243
task1,2,2,250000,3,25.145
task1,2,2,250000,4,29.035
task1,2,2,250000,5,25.7961
task1,2,4,125000,1,18.9621
task1,2,4,125000,2,19.0394
task1,2,4,125000,3,21.2619
task1,2,4,125000,4,22.8526
task1,2,4,125000,5,20.5796
task1,2,8,62500,1,11.1611
task1,2,8,62500,2,13.4371
task1,2,8,62500,3,14.2135
task1,2,8,62500,4,12.7168
task1,2,8,62500,5,12.9389
task1,2,1,2500000,1,276.049
task1,2,1,2500000,2,285.255
task1,2,1,2500000,3,254.13
task1,2,1,2500000,4,307.453
task1,2,1,2500000,5,268.121
task1,2,2,1250000,1,128.958
task1,2,2,1250000,2,127.78
task1,2,2,1250000,3,123.443
task1,2,2,1250000,4,134.155
task1,2,2,1250000,5,138.135
task1,2,4,625000,1,101.963
task1,2,4,625000,2,104.568
task1,2,4,625000,3,95.779
task1,2,4,625000,4,127.595
task1,2,4,625000,5,122.194
task1,2,8,312500,1,62.9897
task1,2,8,312500,2,65.0148
task1,2,8,312500,3,64.0766
task1,2,8,312500,4,69.9556
task1,2,8,312500,5,69.4435
task1,2,1,5000000,1,473.393
task1,2,1,5000000,2,480.025
task1,2,1,5000000,3,439.091
task1,2,1,5000000,4,445.05
task1,2,1,5000000,5,464.378
task1,2,2,2500000,1,269.327
task1,2,2,2500000,2,274.229
task1,2,2,2500000,3,283.438
task1,2,2,2500000,4,261.57
task1,2,2,2500000,5,302.431
task1,2,4,1250000,1,212.579
task1,2,4,1250000,2,230.364
task1,2,4,1250000,3,196.791
task1,2,4,1250000,4,200.956
task1,2,4,1250000,5,211.52
task1,2,8,625000,1,129.751
task1,2,8,625000,2,142.718
task1,2,8,625000,3,140.727
task1,2,8,625000,4,144.502
task1,2,8,625000,5,140.944
task1,3,1,500000,1,46.6461
task1,3,1,500000,2,46.5087
task1,3,1,500000,3,48.5399
task1,3,1,500000,4,56.1053
task1,3,1,500000,5,53.9227
task1,3,2,250000,1,38.1653
task1,3,2,250000,2,39.1319
task1,3,2,250000,3,42.8203
task1,3,2,250000,4,32.0224
task1,3,2,250000,5,29.9841
task1,3,4,125000,1,20.1821
task1,3,4,125000,2,19.1486
task1,3,4,125000,3,21.8681
task1,3,4,125000,4,21.0682
task1,3,4,125000,5,19.486
task1,3,8,62500,1,15.4512
task1,3,8,62500,2,13.6312
task1,3,8,62500,3,17.4811
task1,3,8,62500,4,14.5176
task1,3,8,62500,5,16.7895
task1,3,1,2500000,1,323.258
task1,3,1,2500000,2,320.718
task1,3,1,2500000,3,245.092
task1,3,1,2500000,4,278.586
task1,3,1,2500000,5,245.247
task1,3,2,1250000,1,185.406
task1,3,2,1250000,2,156.46
task1,3,2,1250000,3,201.623
task1,3,2,1250000,4,162.913
task1,3,2,1250000,5,164.148
task1,3,4,625000,1,109.848
task1,3,4,625000,2,126.878
task1,3,4,625000,3,113.832
task1,3,4,625000,4,106.899
task1,3,4,625000,5,128.831
task1,3,8,312500,1,94.1446
task1,3,8,312500,2,84.7561
task1,3,8,312500,3,84.4247
task1,3,8,312500,4,82.0713
task1,3,8,312500,5,87.8642
task1,3,1,5000000,1,694.805
task1,3,1,5000000,2,725.31
task1,3,1,5000000,3,768.436
task1,3,1,5000000,4,753.231
task1,3,1,5000000,5,643.908
task1,3,2,2500000,1,370.453
task1,3,2,2500000,2,369.348
task1,3,2,2500000,3,392.096
task1,3,2,2500000,4,392.106
task1,3,2,2500000,5,389.711
task1,3,4,1250000,1,205.087
task1,3,4,1250000,2,217.109
task1,3,4,1250000,3,241.649
task1,3,4,1250000,4,211.857
task1,3,4,1250000,4,242.657
task1,3,8,625000,1,171.332
task1,3,8,625000,2,177.02
task1,3,8,625000,3,159.577
task1,3,8,625000,4,161.488
task1,3,8,625000,5,169.892
