task,version,threads,chunk,trial,time_ms
task2,1,1,310553,1,4.37049
task2,1,1,310553,2,5.07974
task2,1,1,310553,3,4.82765
task2,1,1,310553,4,5.89036
task2,1,1,310553,5,4.52663
task2,1,1,1552768,1,19.803
task2,1,1,1552768,2,22.6883
task2,1,1,1552768,3,22.0773
task2,1,1,1552768,4,17.6448
task2,1,1,1552768,5,18.7103
task2,1,1,3105536,1,38.6349
task2,1,1,3105536,2,41.616
task2,1,1,3105536,3,40.7525
task2,1,1,3105536,4,41.8753
task2,1,1,3105536,5,45.3115
task2,2,1,310553,1,3.98392
task2,2,1,310553,2,5.294
task2,2,1,310553,3,3.82012
task2,2,1,310553,4,3.75308
task2,2,1,310553,5,3.71268
task2,2,2,155276,1,2.60506
task2,2,2,155276,2,2.5824
task2,2,2,155276,3,2.04288
task2,2,2,155276,4,2.14945
task2,2,2,155276,5,2.09895
task2,2,4,77638,1,1.98626
task2,2,4,77638,2,1.88162
task2,2,4,77638,3,2.03318
task2,2,4,77638,4,1.77285
task2,2,4,77638,5,1.75527
task2,2,8,38819,1,1.37005
task2,2,8,38819,2,1.39169
task2,2,8,38819,3,1.71486
task2,2,8,38819,4,1.25272
task2,2,8,38819,5,2.33741
task2,2,1,1552768,1,21.8745
task2,2,1,1552768,2,21.0994
task2,2,1,1552768,3,20.4045
task2,2,1,1552768,4,19.9937
task2,2,1,1552768,5,21.1886
task2,2,2,776384,1,10.1908
task2,2,2,776384,2,11.4278
task2,2,2,776384,3,10.3076
task2,2,2,776384,4,12.6499
task2,2,2,776384,5,12.7112
task2,2,4,388192,1,8.58788
task2,2,4,388192,2,7.55693
task2,2,4,388192,3,8.84174
task2,2,4,388192,4,9.64661
task2,2,4,388192,5,7.8934
task2,2,8,194096,1,6.36643
task2,2,8,194096,2,7.48619
task2,2,8,194096,3,5.5479
task2,2,8,194096,4,8.41231
task2,2,8,194096,5,8.80963
task2,2,1,3105536,1,42.0015
task2,2,1,3105536,2,39.1174
task2,2,1,3105536,3,39.2351
task2,2,1,3105536,4,40.9162
task2,2,1,3105536,5,40.585
task2,2,2,1552768,1,22.831
task2,2,2,1552768,2,20.9249
task2,2,2,1552768,3,22.376
task2,2,2,1552768,4,27.7846
task2,2,2,1552768,5,21.6006
task2,2,4,776384,1,13.1574
task2,2,4,776384,2,17.0826
task2,2,4,776384,3,16.2443
task2,2,4,776384,4,18.1759
task2,2,4,776384,5,19.3134
task2,2,8,388192,1,13.4091
task2,2,8,388192,2,9.92587
task2,2,8,388192,3,13.3423
task2,2,8,388192,4,9.91837
task2,2,8,388192,5,13.4749
task2,3,1,310553,1,4.30931
task2,3,1,310553,2,5.50187
task2,3,1,310553,3,3.7528
task2,3,1,310553,4,4.10907
task2,3,1,310553,5,3.81649
task2,3,2,155276,1,2.48291
task2,3,2,155276,2,2.90624
task2,3,2,155276,3,2.20029
task2,3,2,155276,4,2.21013
task2,3,2,155276,5,2.14124
task2,3,4,77638,1,2.08416
task2,3,4,77638,2,1.8152
task2,3,4,77638,3,3.71149
task2,3,4,77638,4,2.0373
task2,3,4,77638,5,1.92359
task2,3,8,38819,1,1.62031
task2,3,8,38819,2,1.45888
task2,3,8,38819,3,2.13429
task2,3,8,38819,4,1.85458
task2,3,8,38819,5,1.94452
task2,3,1,1552768,1,23.2122
task2,3,1,1552768,2,30.8567
task2,3,1,1552768,3,27.9852
task2,3,1,1552768,4,22.1339
task2,3,1,1552768,5,19.6382
task2,3,2,776384,1,17.3248
task2,3,2,776384,2,17.2861
task2,3,2,776384,3,10.2952
task2,3,2,776384,4,18.3216
task2,3,2,776384,5,11.1779
task2,3,4,388192,1,9.21026
task2,3,4,388192,2,8.81484
task2,3,4,388192,3,8.89485
task2,3,4,388192,4,8.86757
task2,3,4,388192,5,9.17439
task2,3,8,194096,1,5.26605
task2,3,8,194096,2,5.14623
task2,3,8,194096,3,6.80525
task2,3,8,194096,4,6.27884
task2,3,8,194096,5,7.78792
task2,3,1,3105536,1,46.8515
task2,3,1,3105536,2,47.6754
task2,3,1,3105536,3,41.6928
task2,3,1,3105536,4,40.1597
task2,3,1,3105536,5,46.6447
task2,3,2,1552768,1,22.818
task2,3,2,1552768,2,21.5332
task2,3,2,1552768,3,24.8562
task2,3,2,1552768,4,25.1999
task2,3,2,1552768,5,31.4263
task2,3,4,776384,1,16.3359
task2,3,4,776384,2,16.437
task2,3,4,776384,3,16.3856
task2,3,4,776384,4,16.7545
task2,3,4,776384,5,20.3832
task2,3,8,388192,1,13.8724
task2,3,8,388192,2,12.1718
task2,3,8,388192,3,15.3073
task2,3,8,388192,4,13.7106
task2,3,8,388192,5,14.6327
