size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,46.40461,0.101696,0.210336,0.123552,0.470176,1
256,2,48.672768,0.110752,0.171232,0.125696,0.441088,1
256,3,48.647167,0.101792,0.179328,0.125696,0.442432,1
256,4,48.027649,0.091552,0.201984,0.152416,0.480736,1
256,5,50.620415,0.093408,0.159616,0.128192,0.417408,1
512,1,467.489807,0.369632,0.370944,0.457952,1.236,1
512,2,460.329987,0.34352,0.363616,0.491776,1.23744,1
512,3,482.861053,0.354752,0.375264,0.460768,1.22864,1
1024,1,4100.232422,0.943136,2.414976,1.614592,5.011552,1
1024,2,3887.678467,0.912928,2.389888,1.446368,4.786112,1
1024,3,3669.983154,0.953248,2.385984,1.566944,4.942912,1
2048,1,83804.00781,3.801568,42.004288,5.736576,51.59565,1
2048,2,62210.5625,3.765344,41.582912,4.691328,50.039584,1
2048,3,59423.75,3.889632,42.311168,5.814016,52.014816,1
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,48.8741,0.0998,0.1849,0.1311,0.4504,264.33,108.49
512,470.2269,0.356,0.3699,0.4702,1.234,1271.43,381.24
1024,3885.9647,0.9364,2.3969,1.5426,4.9135,1620.57,791
2048,68479.4401,3.8188,41.9661,5.4139,51.2166,1631.7790,1337.0533
