size,run,cpu_ms,h2d_ms,kernel_ms,d2h_ms,total_gpu_ms,verified
256,1,54.9048,0.1825,0.2504,0.2176,0.6814,1
256,2,73.2664,0.1837,0.2823,0.2149,0.7120,1
256,3,61.8578,0.1816,0.2642,0.2136,0.6915,1
256,4,53.9116,0.1746,0.2520,0.2093,0.6669,1
256,5,53.3971,0.1771,0.2545,0.2083,0.6842,1
256,6,101.6607,0.1940,0.2923,0.2392,0.7599,1
256,7,98.3928,0.2035,0.2945,0.2375,0.7800,1
256,8,106.3014,0.1862,0.2986,0.2377,0.7592,1
256,9,105.5847,0.2002,0.3060,0.2380,0.7828,1
256,10,98.8574,0.1877,0.3143,0.2533,0.7925,1
512,1,1300.8563,0.7156,1.0308,0.7395,2.5205,1
512,2,738.4965,0.6997,1.0300,0.7922,2.5621,1
512,3,801.1387,0.7303,1.0372,0.8466,2.6567,1
512,4,646.1215,0.6979,1.0307,0.7996,2.5658,1
512,5,710.1066,0.7104,1.0304,0.8158,2.5916,1
512,6,733.8018,0.7095,1.0271,0.7897,2.5602,1
512,7,753.6063,0.7034,1.0338,0.7896,2.5635,1
512,8,742.3148,0.7191,1.0279,0.8443,2.6261,1
512,9,762.2867,0.7356,1.0401,0.8210,2.6318,1
512,10,777.1568,0.7172,1.0280,0.8474,2.6272,1
1024,1,9482.6631,3.0109,7.3294,3.0441,13.4292,1
1024,2,8784.5820,1.9804,7.2567,2.9893,12.2619,1
1024,3,7214.4268,1.9897,7.2677,2.8748,12.1701,1
1024,4,8479.4053,1.9643,7.2667,3.0387,12.3074,1
1024,5,8505.5303,2.0138,7.2629,2.8889,12.2154,1
2048,1,93038.9453,7.5532,55.6687,11.5912,74.8573,1
2048,2,119015.5469,7.8320,54.7504,11.5258,74.1511,1
2048,3,115703.1563,7.8273,54.7237,11.7748,74.3735,1
2048,4,104329.6953,8.0356,53.9159,11.9098,73.9054,1
2048,5,99361.8203,8.0177,53.9210,12.3472,74.3311,1
,,,,,,,
size,avg_cpu,avg_h2d,avg_kernel,avg_d2h,avg_total,speedup_kernel,speedup_total
256,80.8135,0.1871,0.2809,0.2269,0.7311,287.6760,110.5440
512,752.3635,0.7139,1.0307,0.8086,2.5906,729.9876,290.4261
1024,8589.8392,1.9870,7.2635,2.9672,12.2387,1182.6079,701.8599
2048,106289.8328,7.8532,54.5959,11.8298,74.1903,1946.8449,1432.6652
